,sciName,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
0,Struthio camelus,Common Ostrich,ostric2,species,2.0,[],['COOS'],['STCA'],Struthioniformes,struth1,Ostriches,Struthionidae,,,
1,Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,[],['SOOS'],['STMO'],Struthioniformes,struth1,Ostriches,Struthionidae,,,
2,Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,[],"['SOOS', 'COOS']","['STMO', 'STCA']",Struthioniformes,struth1,Ostriches,Struthionidae,,,
3,Casuarius casuarius,Southern Cassowary,soucas1,species,10.0,[],['SOCA'],['CACA'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
4,Casuarius bennetti,Dwarf Cassowary,dwacas1,species,11.0,[],['DWCA'],['CABE'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
5,Casuarius unappendiculatus,Northern Cassowary,norcas1,species,14.0,[],['NOCA'],['CAUN'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
6,Dromaius novaehollandiae,Emu,emu1,species,15.0,[],"['EMU', 'COEM']",['DRNO'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
7,Apteryx australis,Southern Brown Kiwi,sobkiw1,species,21.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
8,Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,22.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,sobkiw1,,
9,Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,23.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,sobkiw1,,
10,Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,24.0,[],"['OBKI', 'OKKI']",['APRO'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
11,Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,25.0,[],['NIBK'],['APMA'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
12,Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,26.0,[],"['NIBK', 'SBKI']","['APAU', 'APMA']",Apterygiformes,aptery1,Kiwis,Apterygidae,,,
13,Apteryx owenii,Little Spotted Kiwi,liskiw1,species,27.0,[],['LSKI'],['APOW'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
14,Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,28.0,[],"['OBKI', 'LSKI', 'OKKI']","['APOW', 'APRO']",Apterygiformes,aptery1,Kiwis,Apterygidae,,,
15,Apteryx maxima,Great Spotted Kiwi,grskiw1,species,29.0,[],['GSKI'],['APMA'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
16,Apteryx sp.,kiwi sp.,kiwi1,spuh,30.0,[],[],[],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
17,Rhea americana,Greater Rhea,grerhe1,species,32.0,[],['GRRH'],['RHAM'],Rheiformes,rheida1,Rheas,Rheidae,,,
18,Rhea pennata,Lesser Rhea,lesrhe2,species,38.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,,,
19,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,39.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,lesrhe2,,
20,Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,42.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,lesrhe2,,
21,Tinamotis pentlandii,Puna Tinamou,puntin1,species,44.0,[],['PUTI'],['TIPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
22,Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,45.0,[],['PATI'],['TIIN'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
23,Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,46.0,[],"['QCTI', 'QUCT']",['EUFO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
24,Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,49.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
25,Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,issf,50.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,elctin1,,
26,Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,issf,54.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,elctin1,,
27,Taoniscus nanus,Dwarf Tinamou,dwatin1,species,62.0,[],['DWTI'],['TANA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
28,Nothura boraquira,White-bellied Nothura,whbnot1,species,63.0,[],['WBNO'],['NOBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
29,Nothura minor,Lesser Nothura,lesnot1,species,64.0,[],['LENO'],['NOMI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
30,Nothura darwinii,Darwin's Nothura,darnot1,species,65.0,[],['DANO'],['NODA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
31,Nothura maculosa,Spotted Nothura,sponot1,species,71.0,[],['SPNO'],['NOMA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
32,Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,81.0,[],"['SPNO', 'WBNO']","['NOMA', 'NOBO']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
33,Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,82.0,[],"['SPNO', 'LENO']","['NOMA', 'NOMI']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
34,Nothura darwinii/maculosa,Darwin's/Spotted Nothura,y01375,slash,83.0,[],"['SPNO', 'DANO']","['NOMA', 'NODA']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
35,Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,84.0,[],['HUTI'],['RHMA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
36,Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,85.0,[],['RWTI'],['RHRU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
37,Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,89.0,[],['BRTI'],['NOCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
38,Nothoprocta pentlandii,Andean Tinamou,andtin1,species,92.0,[],['ANTI'],['NOPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
39,Nothoprocta pentlandii [oustaleti Group],Andean Tinamou (Northern),andtin10,issf,93.0,[],['ANTI'],['NOPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,andtin1,,
40,Nothoprocta pentlandii [pentlandii Group],Andean Tinamou (Southern),andtin11,issf,97.0,[],['ANTI'],['NOPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,andtin1,,
41,Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,103.0,[],['CBTI'],['NOCU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
42,Nothoprocta ornata,Ornate Tinamou,orntin1,species,106.0,[],['ORTI'],['NOOR'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
43,Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,110.0,[],['TATI'],['NOTA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
44,Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,111.0,[],['CHTI'],['NOPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
45,Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,114.0,[],[],[],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
46,Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,115.0,[],['TBTI'],['NOJU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
47,Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,116.0,[],['HOTI'],['NONI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
48,Nothocercus bonapartei,Highland Tinamou,higtin1,species,119.0,['HITI'],[],['NOBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
49,Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,120.0,[],['HITI'],['NOBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,higtin1,,
50,Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,121.0,[],['HITI'],['NOBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,higtin1,,
51,Tinamus major,Great Tinamou,gretin1,species,126.0,['GRTI'],[],['TIMA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
52,Tinamus solitarius,Solitary Tinamou,soltin1,species,139.0,[],['SOTI'],['TISO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
53,Tinamus tao,Gray Tinamou,grytin1,species,140.0,[],['GRTI'],['TITA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
54,Tinamus guttatus,White-throated Tinamou,whttin1,species,145.0,[],['WTTI'],['TIGU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
55,Tinamus osgoodi,Black Tinamou,blatin1,species,146.0,[],['BLTI'],['TIOS'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
56,Tinamus osgoodi hershkovitzi,Black Tinamou (Colombian),blktin1,issf,147.0,[],['BLTI'],['TIOS'],Tinamiformes,tinami1,Tinamous,Tinamidae,blatin1,,
57,Tinamus osgoodi osgoodi,Black Tinamou (Peruvian),blktin2,issf,148.0,[],['BLTI'],['TIOS'],Tinamiformes,tinami1,Tinamous,Tinamidae,blatin1,,
58,Tinamus sp.,Tinamus sp.,tinamu1,spuh,149.0,[],[],[],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
59,Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,150.0,[],['BETI'],['CRBE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
60,Crypturellus cinereus,Cinereous Tinamou,cintin1,species,151.0,[],['CITI'],['CRCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
61,Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,152.0,[],['TETI'],['CRPT'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
62,Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,153.0,[],['SBTI'],['CRPA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
63,Crypturellus tataupa,Tataupa Tinamou,tattin1,species,154.0,[],['TATI'],['CRTA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
64,Crypturellus obsoletus,Brown Tinamou,brotin1,species,159.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
65,Crypturellus obsoletus cerviniventris/knoxi,Brown Tinamou (Venezuelan),brntin11,issf,160.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,brotin1,,
66,Crypturellus obsoletus castaneus,Brown Tinamou (Ecuadorian),brntin1,issf,163.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,brotin1,,
67,Crypturellus obsoletus [punensis Group],Brown Tinamou (Andean),brntin2,issf,164.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,brotin1,,
68,Crypturellus obsoletus griseiventris,Brown Tinamou (Amazonian),brntin8,issf,168.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,brotin1,,
69,Crypturellus obsoletus obsoletus,Brown Tinamou (Atlantic),brntin10,issf,169.0,[],['BRTI'],['CROB'],Tinamiformes,tinami1,Tinamous,Tinamidae,brotin1,,
70,Crypturellus variegatus,Variegated Tinamou,vartin1,species,170.0,[],['VATI'],['CRVA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
71,Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,171.0,[],['BATI'],['CRBA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
72,Crypturellus casiquiare,Barred Tinamou,bartin1,species,172.0,[],['BATI'],['CRCA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
73,Crypturellus brevirostris,Rusty Tinamou,rustin1,species,173.0,[],['RUTI'],['CRBR'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
74,Crypturellus soui,Little Tinamou,littin1,species,174.0,['LITI'],[],['CRSO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
75,Crypturellus undulatus,Undulated Tinamou,undtin1,species,189.0,[],['UNTI'],['CRUN'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
76,Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,196.0,[],['YLTI'],['CRNO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
77,Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,197.0,[],['YLTI'],['CRNO'],Tinamiformes,tinami1,Tinamous,Tinamidae,yeltin1,,
78,Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,198.0,[],['YLTI'],['CRNO'],Tinamiformes,tinami1,Tinamous,Tinamidae,yeltin1,,
79,Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,199.0,[],['BCTI'],['CRAT'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
80,Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,202.0,[],['PBTI'],['CRTR'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
81,Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,203.0,['THTI'],['ETTI'],['CRCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
82,Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,204.0,[],"['ETTI', 'THTI']",['CRCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,thitin1,,
83,Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,205.0,[],"['ETTI', 'THTI']",['CRCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,thitin1,,
84,Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,214.0,['SBTI'],[],['CRBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
85,Crypturellus kerriae,Choco Tinamou,chotin1,species,217.0,['CHTI'],[],['CRKE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
86,Crypturellus erythropus,Red-legged Tinamou,reltin1,species,218.0,[],['RLTI'],['CRER'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
87,Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,226.0,[],['GLTI'],['CRDU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
88,Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,227.0,[],['BRTI'],['CRST'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
89,Crypturellus [undescribed form],Serra do Divisor Tinamou (undescribed form),sddtin1,form,228.0,[],['SDDT'],[],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
90,Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,229.0,[],[],[],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
91,Tinamidae sp.,tinamou sp.,tinamo1,spuh,230.0,[],[],[],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
92,Anhima cornuta,Horned Screamer,horscr1,species,232.0,[],['HOSC'],['ANCO'],Anseriformes,anhimi1,Screamers,Anhimidae,,,
93,Chauna torquata,Southern Screamer,souscr1,species,233.0,[],['SOSC'],['CHTO'],Anseriformes,anhimi1,Screamers,Anhimidae,,,
94,Chauna chavaria,Northern Screamer,norscr1,species,234.0,[],['NOSC'],['CHCH'],Anseriformes,anhimi1,Screamers,Anhimidae,,,
95,Anseranas semipalmata,Magpie Goose,maggoo1,species,236.0,[],['MAGO'],['ANSE'],Anseriformes,ansera1,Magpie Goose,Anseranatidae,,,
96,Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,238.0,[],"['SPWD', 'SWDU']",['DEGU'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
97,Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,239.0,[],"['PLWD', 'PWDU']",['DEEY'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
98,Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,240.0,['WFWD'],[],['DEVI'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
99,Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,241.0,[],"['SPWD', 'WFWD', 'SWDU']","['DEGU', 'DEVI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
100,Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),x01218,hybrid,242.0,[],"['PLWD', 'WFWD', 'PWDU']","['DEEY', 'DEVI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
101,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,243.0,['BBWD'],[],['DEAU'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
102,Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (Northern),bkbwhd1,issf,244.0,[],['BBWD'],['DEAU'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,
103,Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (Southern),bkbwhd2,issf,245.0,[],['BBWD'],['DEAU'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,
104,Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141,hybrid,246.0,[],"['WFWD', 'BBWD']","['DEAU', 'DEVI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
105,Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,247.0,['WIWD'],[],['DEAR'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
106,Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,248.0,[],"['BBWD', 'WIWD']","['DEAR', 'DEAU']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
107,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,249.0,['FUWD'],['FWDU'],['DEBI'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
108,Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,hybrid,250.0,[],"['WFWD', 'FUWD', 'FWDU']","['DEBI', 'DEVI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
109,Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,251.0,[],"['FUWD', 'BBWD', 'FWDU']","['DEAU', 'DEBI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
110,Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,252.0,[],"['WWDU', 'WAWD']",['DEAR'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
111,Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),x00990,hybrid,256.0,[],"['WWDU', 'PLWD', 'PWDU', 'WAWD']","['DEAR', 'DEEY']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
112,Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,y01227,slash,257.0,[],"['WWDU', 'PLWD', 'PWDU', 'WAWD']","['DEAR', 'DEEY']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
113,Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,258.0,[],"['LEWD', 'LWDU']",['DEJA'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
114,Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080,slash,259.0,[],"['FWDU', 'FUWD', 'LEWD', 'LWDU']","['DEJA', 'DEBI']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
115,Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360,hybrid,260.0,[],"['WWDU', 'LEWD', 'LWDU', 'WAWD']","['DEAR', 'DEJA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
116,Dendrocygna sp.,whistling-duck sp.,whistl1,spuh,261.0,[],[],[],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
117,Thalassornis leuconotus,White-backed Duck,whbduc1,species,262.0,[],['WBDU'],['THLE'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
118,Anser indicus,Bar-headed Goose,bahgoo,species,265.0,[],['BHGO'],['ANIN'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
119,Anser canagicus,Emperor Goose,empgoo,species,266.0,['EMGO'],[],['ANCA'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
120,Anser caerulescens,Snow Goose,snogoo,species,267.0,['SNGO'],[],['ANCA'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
121,Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),x00991,hybrid,270.0,[],"['BHGO', 'SNGO']","['ANIN', 'ANCA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
122,Anser canagicus x caerulescens,Emperor x Snow Goose (hybrid),x01176,hybrid,271.0,[],"['EMGO', 'SNGO']",['ANCA'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
123,Anser rossii,Ross's Goose,rosgoo,species,272.0,['ROGO'],[],['ANRO'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
124,Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,273.0,['SRGH'],"['SNGO', 'ROGO']","['ANRO', 'ANCA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
125,Anser caerulescens/rossii,Snow/Ross's Goose,y00469,slash,274.0,['SRGO'],"['SNGO', 'ROGO']","['ANRO', 'ANCA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
126,Anser anser,Graylag Goose,gragoo,species,275.0,['GRGO'],[],['ANAN'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
127,Anser anser anser,Graylag Goose (European),gragoo2,issf,276.0,[],['GRGO'],['ANAN'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,
128,Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,issf,277.0,[],['GRGO'],['ANAN'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,
129,Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,domestic,278.0,[],['GRGO'],['ANAN'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,
130,Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),x00992,hybrid,279.0,[],"['BHGO', 'GRGO']","['ANIN', 'ANAN']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
131,Anser canagicus x anser,Emperor x Graylag Goose (hybrid),x01119,hybrid,280.0,[],"['EMGO', 'GRGO']","['ANAN', 'ANCA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
132,Anser cygnoides,Swan Goose,swagoo1,species,281.0,[],['SWGO'],['ANCY'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
133,Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,domestic,282.0,[],['SWGO'],['ANCY'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,swagoo1,,
134,Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),x01143,hybrid,283.0,[],"['BHGO', 'SWGO']","['ANIN', 'ANCY']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
135,Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),x01144,hybrid,284.0,[],"['SNGO', 'SWGO']","['ANCY', 'ANCA']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
136,Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),x01142,hybrid,285.0,[],"['BHGO', 'SNGO', 'SWGO']","['ANIN', 'ANCA', 'ANCY']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
137,Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776,hybrid,286.0,[],"['GRGO', 'SWGO']","['ANAN', 'ANCY']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
138,Anser albifrons,Greater White-fronted Goose,gwfgoo,species,287.0,['GWFG'],[],['ANAL'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
139,Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,issf,288.0,[],['GWFG'],['ANAL'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
140,Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,issf,289.0,[],['GWFG'],['ANAL'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
141,Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2,issf,290.0,[],['GWFG'],['ANAL'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
142,Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,issf,293.0,['TWFG'],['GWFG'],['ANAL'],Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,
143,Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,294.0,[],"['GWFG', 'BHGO']","['ANIN', 'ANAL']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
144,Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361,hybrid,295.0,[],"['GWFG', 'EMGO']","['ANCA', 'ANAL']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
145,Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,296.0,[],"['GWFG', 'SNGO']","['ANCA', 'ANAL']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
146,Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362,hybrid,297.0,[],"['GWFG', 'ROGO']","['ANRO', 'ANAL']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
147,Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),x01145,hybrid,298.0,[],"['GWFG', 'GRGO']","['ANAN', 'ANAL']",Anseriformes,anatid1,"Ducks, Geese, and Waterfowl",Anatidae,,,
